#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NZ_AP021898.1",1,1407,"+",60879417,"dnaA","GOZ73_RS00005","WP_065529414.1",468,"chromosomal replication initiator protein DnaA"
"chromosome","NZ_AP021898.1",1557,2492,"+",60879418,,"GOZ73_RS00010","WP_012419065.1",311,"ABC transporter ATP-binding protein"
"chromosome","NZ_AP021898.1",2550,3332,"+",60879419,,"GOZ73_RS00015","WP_012419066.1",260,"ABC transporter permease subunit"
"chromosome","NZ_AP021898.1",3367,4938,"+",60879420,,"GOZ73_RS00020","WP_102746802.1",523,"Gldg family protein"
"chromosome","NZ_AP021898.1",4967,7021,"+",60879421,,"GOZ73_RS00025","WP_102746801.1",684,"DUF4340 domain-containing protein"
"chromosome","NZ_AP021898.1",7035,7814,"+",60879422,,"GOZ73_RS00030","WP_031929918.1",259,"Nif3-like dinuclear metal center hexameric protein"
"chromosome","NZ_AP021898.1",7831,8802,"+",60879423,,"GOZ73_RS00035","WP_031929919.1",323,"RluA family pseudouridine synthase"
"chromosome","NZ_AP021898.1",9175,10332,"+",60879424,"pheA","GOZ73_RS00040","WP_087393356.1",385,"prephenate dehydratase"
"chromosome","NZ_AP021898.1",10378,11994,"+",60879425,,"GOZ73_RS00045","WP_155844465.1",538,"alpha-L-fucosidase"
"chromosome","NZ_AP021898.1",12019,14403,"+",60879426,"ligA","GOZ73_RS00050","WP_155844466.1",794,"NAD-dependent DNA ligase LigA"
"chromosome","NZ_AP021898.1",14581,15186,"+",60879427,"pgsA","GOZ73_RS00055","WP_022198043.1",201,"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase"
"chromosome","NZ_AP021898.1",15202,17964,"-",60879428,,"GOZ73_RS00060","WP_155844467.1",920,"phospholipase D-like domain-containing protein"
"chromosome","NZ_AP021898.1",17993,20884,"-",60879429,,"GOZ73_RS00065","WP_155844468.1",963,"DUF1156 domain-containing protein"
"chromosome","NZ_AP021898.1",20924,21499,"-",60879430,,"GOZ73_RS00070","WP_102749054.1",191,"DUF3780 domain-containing protein"
"chromosome","NZ_AP021898.1",21492,24587,"-",60879431,,"GOZ73_RS00075","WP_155844469.1",1031,"DUF499 domain-containing protein"
"chromosome","NZ_AP021898.1",24883,25950,"+",60879432,,"GOZ73_RS00080","WP_022196857.1",355,"tyrosine-type recombinase/integrase"
"chromosome","NZ_AP021898.1",26184,26792,"+",60879433,,"GOZ73_RS00085","WP_022196858.1",202,"hypothetical protein"
"chromosome","NZ_AP021898.1",27285,28730,"+",60879434,,"GOZ73_RS00090","WP_102749052.1",481,"Gfo/Idh/MocA family oxidoreductase"
"chromosome","NZ_AP021898.1",29032,30174,"+",60879435,"eboE","GOZ73_RS00095","WP_155844470.1",380,"metabolite traffic protein EboE"
"chromosome","NZ_AP021898.1",30179,31138,"+",60879436,,"GOZ73_RS00100","WP_155844471.1",319,"hypothetical protein"
"chromosome","NZ_AP021898.1",31157,32311,"-",60879437,,"GOZ73_RS00105","WP_102741786.1",384,"MFS transporter"
"chromosome","NZ_AP021898.1",32461,33858,"-",60879438,"rpoN","GOZ73_RS00110","WP_155844472.1",465,"RNA polymerase factor sigma-54"
"chromosome","NZ_AP021898.1",34000,34710,"+",60879439,,"GOZ73_RS00115","WP_012419084.1",236,"GDSL-type esterase/lipase family protein"
"chromosome","NZ_AP021898.1",35100,35876,"+",60879440,,"GOZ73_RS00120","WP_102746795.1",258,"PhzF family phenazine biosynthesis protein"
"plasmid pJ30893","NZ_AP021899.1",32744,796,"-",60881768,,"GOZ73_RS11920","WP_232053507.1",288,"recombinase RecT"
"plasmid pJ30893","NZ_AP021899.1",934,1329,"-",60881769,,"GOZ73_RS11925","WP_155844644.1",131,"hypothetical protein"
"plasmid pJ30893","NZ_AP021899.1",1326,1631,"-",60881770,,"GOZ73_RS11930","WP_155844645.1",101,"hypothetical protein"
"plasmid pJ30893","NZ_AP021899.1",1765,1932,"-",60881771,,"GOZ73_RS11935","WP_155844646.1",55,"hypothetical protein"
"plasmid pJ30893","NZ_AP021899.1",1922,2206,"-",60881772,,"GOZ73_RS11940","WP_162378861.1",94,"hypothetical protein"
"plasmid pJ30893","NZ_AP021899.1",2574,2789,"-",60881773,,"GOZ73_RS11945","WP_155844648.1",71,"helix-turn-helix domain-containing protein"
"plasmid pJ30893","NZ_AP021899.1",2846,3355,"-",69060666,,"GOZ73_RS12460","WP_232053508.1",169,"hypothetical protein"
"plasmid pJ30893","NZ_AP021899.1",3548,3979,"-",60881775,,"GOZ73_RS11960","WP_155844650.1",143,"hypothetical protein"
"plasmid pJ30893","NZ_AP021899.1",4418,4894,"+",60881776,,"GOZ73_RS11965","WP_102748994.1",158,"DUF4065 domain-containing protein"
"plasmid pJ30893","NZ_AP021899.1",4899,5228,"+",60881777,,"GOZ73_RS11970","WP_102748993.1",109,"hypothetical protein"
"plasmid pJ30893","NZ_AP021899.1",5645,6832,"+",60881778,,"GOZ73_RS11975","WP_155844651.1",395,"tyrosine-type recombinase/integrase"
"plasmid pJ30893","NZ_AP021899.1",6865,7620,"-",60881779,,"GOZ73_RS11980","WP_155844652.1",251,"hypothetical protein"
"plasmid pJ30893","NZ_AP021899.1",7819,9975,"-",60881781,,"GOZ73_RS11990","WP_155844653.1",718,"hypothetical protein"
"plasmid pJ30893","NZ_AP021899.1",10027,10611,"-",60881782,,"GOZ73_RS11995","WP_155844654.1",194,"DUF4339 domain-containing protein"
"plasmid pJ30893","NZ_AP021899.1",10658,12544,"-",60881783,,"GOZ73_RS12000","WP_155844655.1",628,"hypothetical protein"
"plasmid pJ30893","NZ_AP021899.1",12566,12844,"-",60881784,,"GOZ73_RS12005","WP_155844656.1",92,"hypothetical protein"
"plasmid pJ30893","NZ_AP021899.1",12877,14391,"-",60881785,,"GOZ73_RS12010","WP_155844657.1",504,"BACON domain-containing protein"
"plasmid pJ30893","NZ_AP021899.1",14398,14928,"-",60881786,,"GOZ73_RS12015","WP_155844658.1",176,"N-acetylmuramoyl-L-alanine amidase"
"plasmid pJ30893","NZ_AP021899.1",14994,15245,"-",60881787,,"GOZ73_RS12020","WP_155844659.1",83,"hypothetical protein"
"plasmid pJ30893","NZ_AP021899.1",15250,15720,"-",60881788,,"GOZ73_RS12025","WP_155844660.1",156,"hypothetical protein"
"plasmid pJ30893","NZ_AP021899.1",15734,16141,"-",60881789,,"GOZ73_RS12030","WP_155844661.1",135,"hypothetical protein"
"plasmid pJ30893","NZ_AP021899.1",16138,17859,"-",60881790,,"GOZ73_RS12035","WP_232053509.1",573,"collagen-like protein"
"plasmid pJ30893","NZ_AP021899.1",17977,18534,"-",60881791,,"GOZ73_RS12040","WP_102739601.1",185,"hypothetical protein"
"plasmid pJ30893","NZ_AP021899.1",18642,18839,"-",60881792,,"GOZ73_RS12045","WP_102747939.1",65,"hypothetical protein"
"plasmid pJ30893","NZ_AP021899.1",18836,19300,"-",60881793,,"GOZ73_RS12050","WP_155844662.1",154,"hypothetical protein"
"chromosome","NZ_AP021898.1",36371,36970,"+",60879441,,"GOZ73_RS00125","WP_146018789.1",199,"manganese efflux pump MntP family protein"
"chromosome","NZ_AP021898.1",37079,39307,"+",60879442,,"GOZ73_RS00130","WP_162378703.1",742,"discoidin domain-containing protein"
"chromosome","NZ_AP021898.1",39324,40541,"+",60879443,,"GOZ73_RS00135","WP_102740461.1",405,"hypothetical protein"
"chromosome","NZ_AP021898.1",40772,42151,"-",60879444,,"GOZ73_RS00140","WP_102749063.1",459,"replication-associated recombination protein A"
"chromosome","NZ_AP021898.1",42261,42656,"-",60879445,,"GOZ73_RS00145","WP_102744930.1",131,"hypothetical protein"
