#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"Un","NZ_VWSY01000001.1",2822807,2823499,"+",57969528,,"F2P57_RS13060","WP_150027970.1",230,"sugar transferase"
"Un","NZ_VWSY01000001.1",2823510,2824736,"+",57969529,,"F2P57_RS13065","WP_150027971.1",408,"glycosyltransferase family 4 protein"
"Un","NZ_VWSY01000001.1",2825283,2826653,"+",57969530,,"F2P57_RS13070","WP_150027972.1",456,"hypothetical protein"
"Un","NZ_VWSY01000001.1",2826634,2827716,"+",57969531,,"F2P57_RS13075","WP_190278458.1",360,"glycosyltransferase family 4 protein"
"Un","NZ_VWSY01000001.1",2827727,2829040,"+",57969532,,"F2P57_RS13080","WP_144233184.1",437,"nucleotide sugar dehydrogenase"
"Un","NZ_VWSY01000001.1",2829078,2830166,"+",57969533,,"F2P57_RS13085","WP_150027974.1",362,"Gfo/Idh/MocA family oxidoreductase"
"Un","NZ_VWSY01000001.1",2830169,2831098,"+",57969534,,"F2P57_RS13090","WP_202883068.1",309,"UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase"
"Un","NZ_VWSY01000001.1",2831126,2832391,"+",57969535,,"F2P57_RS13095","WP_150027975.1",421,"oligosaccharide flippase family protein"
"Un","NZ_VWSY01000001.1",2832473,2833603,"+",57969536,,"F2P57_RS13100","WP_150027976.1",376,"DegT/DnrJ/EryC1/StrS aminotransferase family protein"
"Un","NZ_VWSY01000001.1",2833712,2834731,"+",57969537,,"F2P57_RS13105","WP_144233185.1",339,"hypothetical protein"
"Un","NZ_VWSY01000001.1",2834724,2836532,"+",57969538,,"F2P57_RS13110","WP_150027977.1",602,"HAD-IIIC family phosphatase"
"Un","NZ_VWSY01000001.1",2836550,2836792,"+",57969539,,"F2P57_RS13115","WP_150027978.1",80,"acyl carrier protein"
"Un","NZ_VWSY01000001.1",2836794,2837195,"+",57969540,,"F2P57_RS13120","WP_024738582.1",133,"VOC family protein"
"Un","NZ_VWSY01000001.1",2837384,2838730,"+",57969541,,"F2P57_RS13125","WP_190278459.1",448,"MBOAT family protein"
"Un","NZ_VWSY01000001.1",2838910,2839779,"-",57969542,,"F2P57_RS13130","WP_044912711.1",289,"polysaccharide deacetylase family protein"
