#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"Un","NZ_VVYG01000010.1",1,860,"+",66297901,,"F2Y25_RS10475","WP_205051531.1",285,"M60 family metallopeptidase, partial"
"Un","NZ_VVYG01000010.1",933,1832,"+",66297902,,"F2Y25_RS10480","WP_149928113.1",299,"alkaline phosphatase"
"Un","NZ_VVYG01000010.1",2106,2675,"+",66297903,,"F2Y25_RS10485","WP_149928114.1",189,"sigma-70 family RNA polymerase sigma factor"
"Un","NZ_VVYG01000010.1",2737,3822,"+",66297904,,"F2Y25_RS10490","WP_005682399.1",361,"FecR family protein"
"Un","NZ_VVYG01000010.1",3960,7376,"+",66297905,,"F2Y25_RS10495","WP_005682400.1",1138,"TonB-dependent receptor"
"Un","NZ_VVYG01000010.1",7394,9343,"+",66297906,,"F2Y25_RS10500","WP_149928115.1",649,"RagB/SusD family nutrient uptake outer membrane protein"
"Un","NZ_VVYG01000010.1",9352,10872,"+",66297907,,"F2Y25_RS10505","WP_005679232.1",506,"arylsulfatase"
"Un","NZ_VVYG01000010.1",10946,11272,"-",66297908,,"F2Y25_RS10510","WP_005679231.1",108,"heavy metal-binding domain-containing protein"
"Un","NZ_VVYG01000010.1",11556,12767,"-",66297909,,"F2Y25_RS10515","WP_005679229.1",403,"cysteine desulfurase"
"Un","NZ_VVYG01000010.1",12784,14127,"-",66297910,"sufD","F2Y25_RS10520","WP_149928155.1",447,"Fe-S cluster assembly protein SufD"
"Un","NZ_VVYG01000010.1",14130,14882,"-",66297911,"sufC","F2Y25_RS10525","WP_005682404.1",250,"Fe-S cluster assembly ATPase SufC"
"Un","NZ_VVYG01000010.1",14898,16352,"-",66297912,"sufB","F2Y25_RS10530","WP_005679226.1",484,"Fe-S cluster assembly protein SufB"
"Un","NZ_VVYG01000010.1",16330,16860,"-",66297913,,"F2Y25_RS10535","WP_149928116.1",176,"CvpA family protein"
"Un","NZ_VVYG01000010.1",16939,20052,"-",66297914,"infB","F2Y25_RS10540","WP_149928117.1",1037,"translation initiation factor IF-2"
"Un","NZ_VVYG01000010.1",20107,21399,"-",66297915,"nusA","F2Y25_RS10545","WP_005682406.1",430,"transcription termination factor NusA"
"Un","NZ_VVYG01000010.1",21402,21869,"-",66297916,"rimP","F2Y25_RS10550","WP_005679221.1",155,"ribosome assembly cofactor RimP"
"Un","NZ_VVYG01000010.1",22042,22437,"+",66297917,,"F2Y25_RS10555","WP_005679220.1",131,"hypothetical protein"
"Un","NZ_VVYG01000010.1",22470,23174,"-",66297918,,"F2Y25_RS10560","WP_149928118.1",234,"M48 family metallopeptidase"
"Un","NZ_VVYG01000010.1",23386,23865,"-",66297919,,"F2Y25_RS10565","WP_055170052.1",159,"hypothetical protein"
