#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NZ_CP012938.1",6471972,781,"+",29455477,,"Bovatus_RS00005","WP_059365531.1",432,"MULTISPECIES: alginate lyase family protein"
"chromosome","NZ_CP012938.1",796,2202,"+",29455471,,"Bovatus_RS00010","WP_004296896.1",468,"glycosyl hydrolase family 28 protein"
"chromosome","NZ_CP012938.1",2534,2914,"+",29455468,,"Bovatus_RS00015","WP_004322509.1",126,"MULTISPECIES: transposase"
"chromosome","NZ_CP012938.1",2950,3870,"+",29455467,,"Bovatus_RS00020","WP_105096225.1",306,"IS3 family transposase"
"chromosome","NZ_CP012938.1",3852,4859,"-",29455466,,"Bovatus_RS00025","WP_004307071.1",335,"MULTISPECIES: IS110 family transposase"
"chromosome","NZ_CP012938.1",5488,6675,"-",29455457,"uxuA","Bovatus_RS00030","WP_004297007.1",395,"MULTISPECIES: mannonate dehydratase"
"chromosome","NZ_CP012938.1",6711,7526,"-",29455456,,"Bovatus_RS00035","WP_004297005.1",271,"MULTISPECIES: SDR family oxidoreductase"
"chromosome","NZ_CP012938.1",7645,8526,"+",29455453,,"Bovatus_RS00040","WP_004319633.1",293,"MULTISPECIES: AraC family transcriptional regulator"
"chromosome","NZ_CP012938.1",8597,10549,"+",29455452,,"Bovatus_RS00045","WP_004297004.1",650,"MULTISPECIES: glycoside hydrolase family 97 protein"
"chromosome","NZ_CP012938.1",10758,11600,"-",29455446,,"Bovatus_RS00050","WP_004297003.1",280,"MULTISPECIES: aldo/keto reductase"
"chromosome","NZ_CP012938.1",11837,13453,"+",29455445,,"Bovatus_RS00055","WP_004297002.1",538,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP012938.1",13479,13862,"-",29455443,,"Bovatus_RS00060","WP_004297000.1",127,"MULTISPECIES: DUF3037 domain-containing protein"
"chromosome","NZ_CP012938.1",13840,14622,"-",29455432,,"Bovatus_RS00065","WP_004296999.1",260,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP012938.1",14804,17548,"+",29455418,,"Bovatus_RS00070","WP_004296998.1",914,"MULTISPECIES: helix-turn-helix domain-containing protein"
"chromosome","NZ_CP012938.1",17777,18187,"+",29455391,,"Bovatus_RS00075","WP_004296997.1",136,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP012938.1",18189,18719,"+",29455360,,"Bovatus_RS00080","WP_004296996.1",176,"MULTISPECIES: sigma-70 family RNA polymerase sigma factor"
"chromosome","NZ_CP012938.1",18817,21975,"+",29455350,,"Bovatus_RS00085","WP_004296995.1",1052,"MULTISPECIES: TonB-dependent receptor"
"chromosome","NZ_CP012938.1",21989,23743,"+",29455348,,"Bovatus_RS00090","WP_052587867.1",584,"MULTISPECIES: RagB/SusD family nutrient uptake outer membrane protein"
"chromosome","NZ_CP012938.1",23762,25285,"+",29455338,,"Bovatus_RS00095","WP_052587861.1",507,"MULTISPECIES: Ig-like domain-containing protein"
"chromosome","NZ_CP012938.1",25306,26664,"+",29455336,,"Bovatus_RS00100","WP_004296992.1",452,"MULTISPECIES: alginate lyase family protein"
"chromosome","NZ_CP012938.1",26746,28176,"+",29455330,,"Bovatus_RS00105","WP_004296991.1",476,"glycosyl hydrolase family 30"
"chromosome","NZ_CP012938.1",28350,29738,"+",29455328,,"Bovatus_RS00110","WP_004296989.1",462,"MULTISPECIES: glycosyl hydrolase family 28 protein"
"chromosome","NZ_CP012938.1",29789,31714,"+",29455323,,"Bovatus_RS00115","WP_052587865.1",641,"MULTISPECIES: glycoside hydrolase family 127 protein"
"chromosome","NZ_CP012938.1",31730,33655,"+",29455322,,"Bovatus_RS00120","WP_004296987.1",641,"MULTISPECIES: alpha/beta fold hydrolase"
"chromosome","NZ_CP012938.1",33677,35944,"+",29455321,,"Bovatus_RS00125","WP_004296986.1",755,"MULTISPECIES: heparinase II/III family protein"
"chromosome","NZ_CP012938.1",36072,38849,"+",29455319,,"Bovatus_RS00130","WP_004325499.1",925,"MULTISPECIES: helix-turn-helix domain-containing protein"
"chromosome","NZ_CP012938.1",39081,39596,"+",29455317,,"Bovatus_RS00135","WP_004296983.1",171,"MULTISPECIES: sigma-70 family RNA polymerase sigma factor"
"chromosome","NZ_CP012938.1",39641,42850,"+",29455315,,"Bovatus_RS00140","WP_200926977.1",1069,"TonB-dependent receptor"
"chromosome","NZ_CP012938.1",42878,44599,"+",29455311,,"Bovatus_RS00145","WP_004296981.1",573,"MULTISPECIES: RagB/SusD family nutrient uptake outer membrane protein"
"chromosome","NZ_CP012938.1",44634,46097,"+",29455308,,"Bovatus_RS00150","WP_004296980.1",487,"MULTISPECIES: Ig-like domain-containing protein"
"chromosome","NZ_CP012938.1",46150,47415,"+",29455303,,"Bovatus_RS00155","WP_224440800.1",421,"MULTISPECIES: alginate lyase family protein"
"chromosome","NZ_CP012938.1",47509,50649,"+",29455299,,"Bovatus_RS00160","WP_004296978.1",1046,"MULTISPECIES: DUF4981 domain-containing protein"
"chromosome","NZ_CP012938.1",50957,51259,"+",29455298,,"Bovatus_RS00165","WP_004296976.1",100,"MULTISPECIES: helix-turn-helix domain-containing protein"
"chromosome","NZ_CP012938.1",51481,54312,"+",29455297,,"Bovatus_RS00170","WP_004296975.1",943,"MULTISPECIES: helix-turn-helix domain-containing protein"
"chromosome","NZ_CP012938.1",55016,55531,"+",29455294,,"Bovatus_RS00175","WP_008021654.1",171,"MULTISPECIES: RNA polymerase sigma-70 factor"
"chromosome","NZ_CP012938.1",55601,58900,"+",29455293,,"Bovatus_RS00180","WP_004296971.1",1099,"MULTISPECIES: TonB-dependent receptor"
"chromosome","NZ_CP012938.1",58913,60637,"+",29455288,,"Bovatus_RS00185","WP_052587860.1",574,"MULTISPECIES: RagB/SusD family nutrient uptake outer membrane protein"
"chromosome","NZ_CP012938.1",60669,62195,"+",29455284,,"Bovatus_RS00190","WP_004296969.1",508,"MULTISPECIES: Ig-like domain-containing protein"
"chromosome","NZ_CP012938.1",62201,63604,"+",29455282,,"Bovatus_RS00195","WP_004296968.1",467,"MULTISPECIES: alginate lyase family protein"
"chromosome","NZ_CP012938.1",63857,65506,"+",29455278,,"Bovatus_RS00200","WP_004296967.1",549,"MULTISPECIES: glycoside hydrolase 43 family protein"
"chromosome","NZ_CP012938.1",65595,66815,"+",29455276,,"Bovatus_RS00205","WP_004296966.1",406,"MULTISPECIES: glycoside hydrolase family 88 protein"
"chromosome","NZ_CP012938.1",66880,67437,"+",29455275,,"Bovatus_RS00210","WP_004296965.1",185,"MULTISPECIES: redoxin domain-containing protein"
"chromosome","NZ_CP012938.1",67526,68002,"-",29455273,,"Bovatus_RS00215","WP_004296964.1",158,"MULTISPECIES: copper resistance protein NlpE"
"chromosome","NZ_CP012938.1",68060,69352,"-",29455272,,"Bovatus_RS00220","WP_004296963.1",430,"MULTISPECIES: hemolysin family protein"
"chromosome","NZ_CP012938.1",69604,70389,"-",29455268,,"Bovatus_RS00225","WP_004296962.1",261,"MULTISPECIES: M48 family metallopeptidase"
"chromosome","NZ_CP012938.1",70423,72801,"-",29455267,,"Bovatus_RS00230","WP_004296961.1",792,"MULTISPECIES: TonB-dependent receptor"
"chromosome","NZ_CP012938.1",72983,73417,"+",29455263,,"Bovatus_RS00235","WP_004296960.1",144,"MULTISPECIES: DUF2007 domain-containing protein"
"chromosome","NZ_CP012938.1",73443,74261,"+",29455260,,"Bovatus_RS00240","WP_004296959.1",272,"MULTISPECIES: esterase family protein"
"chromosome","NZ_CP012938.1",74670,75464,"-",29455259,,"Bovatus_RS00245","WP_004296958.1",264,"MULTISPECIES: DUF4595 domain-containing protein"
"chromosome","NZ_CP012938.1",75471,76907,"-",29455258,,"Bovatus_RS00250","WP_004296957.1",478,"MULTISPECIES: S41 family peptidase"
"chromosome","NZ_CP012938.1",77088,78155,"+",29455255,"mnmA","Bovatus_RS00255","WP_004296956.1",355,"MULTISPECIES: tRNA 2-thiouridine(34) synthase MnmA"
"chromosome","NZ_CP012938.1",78198,78857,"-",29455252,,"Bovatus_RS00260","WP_052587863.1",219,"MULTISPECIES: response regulator transcription factor"
"chromosome","NZ_CP012938.1",78946,79536,"-",29455251,,"Bovatus_RS00265","WP_004305931.1",196,"MULTISPECIES: DUF4251 domain-containing protein"
"chromosome","NZ_CP012938.1",79604,81031,"-",29455250,"nhaC","Bovatus_RS00270","WP_004296953.1",475,"MULTISPECIES: Na+/H+ antiporter NhaC"
"chromosome","NZ_CP012938.1",81188,81622,"-",29455248,,"Bovatus_RS00275","WP_004296952.1",144,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP012938.1",81669,82844,"-",29455246,,"Bovatus_RS00280","WP_004296951.1",391,"MULTISPECIES: MFS transporter"
"chromosome","NZ_CP012938.1",82871,85294,"-",29455243,"pbpC","Bovatus_RS00285","WP_004296950.1",807,"MULTISPECIES: penicillin-binding protein 1C"
"chromosome","NZ_CP012938.1",85309,90939,"-",29455241,,"Bovatus_RS00290","WP_004296949.1",1876,"MULTISPECIES: MG2 domain-containing protein"
"chromosome","NZ_CP012938.1",91039,91440,"+",29455240,,"Bovatus_RS00295","WP_004296948.1",133,"MULTISPECIES: FKBP-type peptidyl-prolyl cis-trans isomerase"
"chromosome","NZ_CP012938.1",91465,91851,"-",29455239,,"Bovatus_RS00300","WP_004296947.1",128,"MULTISPECIES: LytTR family transcriptional regulator"
"chromosome","NZ_CP012938.1",92017,93129,"-",29455238,,"Bovatus_RS00305","WP_004296945.1",370,"MULTISPECIES: AraC family transcriptional regulator"
"chromosome","NZ_CP012938.1",93258,93611,"-",29455231,,"Bovatus_RS00310","WP_004296944.1",117,"MULTISPECIES: DUF1622 domain-containing protein"
"chromosome","NZ_CP012938.1",93953,94963,"-",29455224,,"Bovatus_RS00315","WP_004296943.1",336,"MULTISPECIES: GGGtGRT protein"
"chromosome","NZ_CP012938.1",94984,95685,"-",29455218,,"Bovatus_RS00320","WP_004296942.1",233,"MULTISPECIES: nitrogen-fixing protein NifU"
"chromosome","NZ_CP012938.1",95924,96328,"+",29455217,,"Bovatus_RS00325","WP_004296941.1",134,"MULTISPECIES: TIGR03987 family protein"
"chromosome","NZ_CP012938.1",96930,97430,"+",29455215,,"Bovatus_RS00330","WP_004296938.1",166,"MULTISPECIES: DMP19 family protein"
"chromosome","NZ_CP012938.1",97513,98268,"+",29455207,,"Bovatus_RS00335","WP_004319551.1",251,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP012938.1",98301,98846,"+",29455202,,"Bovatus_RS00340","WP_004296936.1",181,"MULTISPECIES: YIP1 family protein"
"chromosome","NZ_CP012938.1",98856,99308,"+",29455199,"smpB","Bovatus_RS00345","WP_004296935.1",150,"MULTISPECIES: SsrA-binding protein"
"chromosome","NZ_CP012938.1",99398,102145,"+",29455198,"metH","Bovatus_RS00350","WP_004296934.1",915,"MULTISPECIES: methionine synthase"
"chromosome","NZ_CP012938.1",102157,102756,"+",29455196,,"Bovatus_RS00355","WP_004296933.1",199,"MULTISPECIES: nitroreductase family protein"
"chromosome","NZ_CP012938.1",102828,102953,"+",70048021,,"Bovatus_RS25590","WP_004296931.1",41,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP012938.1",102950,104497,"+",29455194,,"Bovatus_RS00360","WP_004296930.1",515,"MULTISPECIES: sodium:solute symporter family protein"
"chromosome","NZ_CP012938.1",104534,105925,"-",29455189,,"Bovatus_RS00365","WP_004305959.1",463,"MULTISPECIES: transporter substrate-binding domain-containing protein"
"chromosome","NZ_CP012938.1",105950,106561,"-",29455185,"udk","Bovatus_RS00370","WP_008648370.1",203,"MULTISPECIES: uridine kinase"
