#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NZ_CP024160.1",2305883,49,"-",66615625,,"CSV91_RS00005","WP_157758029.1",171,"hypothetical protein"
"chromosome","NZ_CP024160.1",466,915,"+",66615626,,"CSV91_RS00010","WP_099431301.1",149,"hypothetical protein"
"chromosome","NZ_CP024160.1",1447,3126,"+",66615627,,"CSV91_RS00015","WP_099431302.1",559,"hypothetical protein"
"chromosome","NZ_CP024160.1",3092,4291,"-",66615628,,"CSV91_RS00020","WP_157757959.1",399,"WYL domain-containing protein"
"chromosome","NZ_CP024160.1",4414,4584,"+",66617589,,"CSV91_RS09985","WP_157757960.1",56,"hypothetical protein"
"chromosome","NZ_CP024160.1",4609,4839,"+",66615629,,"CSV91_RS00025","WP_099431304.1",76,"hypothetical protein"
"chromosome","NZ_CP024160.1",4957,5397,"-",66615630,,"CSV91_RS00030","WP_099431305.1",146,"MerR family transcriptional regulator"
"chromosome","NZ_CP024160.1",5619,6383,"+",66615631,,"CSV91_RS00035","WP_099431306.1",254,"carboxymuconolactone decarboxylase family protein"
"chromosome","NZ_CP024160.1",6380,6670,"-",66615632,,"CSV91_RS00040","WP_099431307.1",96,"hypothetical protein"
"chromosome","NZ_CP024160.1",6741,7025,"+",66615633,,"CSV91_RS00045","WP_099431308.1",94,"hypothetical protein"
"chromosome","NZ_CP024160.1",7317,8234,"-",66615634,,"CSV91_RS00050","WP_099431309.1",305,"hypothetical protein"
"chromosome","NZ_CP024160.1",8555,9085,"+",66615635,,"CSV91_RS00055","WP_099431310.1",176,"flavodoxin family protein"
"chromosome","NZ_CP024160.1",9188,11428,"-",66615636,,"CSV91_RS00060","WP_099431311.1",746,"topoisomerase IV"
"chromosome","NZ_CP024160.1",11474,13471,"-",66615637,,"CSV91_RS00065","WP_099431312.1",665,"toprim domain-containing protein"
"chromosome","NZ_CP024160.1",13903,14919,"+",66615638,,"CSV91_RS00075","WP_099431314.1",338,"hypothetical protein"
"chromosome","NZ_CP024160.1",15158,15388,"+",66615639,,"CSV91_RS00080","WP_099431315.1",76,"helix-turn-helix transcriptional regulator"
"chromosome","NZ_CP024160.1",15398,15982,"+",66615640,,"CSV91_RS00085","WP_099431316.1",194,"hypothetical protein"
"chromosome","NZ_CP024160.1",16073,20440,"-",66615641,,"CSV91_RS00090","WP_099431317.1",1455,"hypothetical protein"
"chromosome","NZ_CP024160.1",20597,21601,"-",66615642,,"CSV91_RS00095","WP_099431318.1",334,"LuxR family transcriptional regulator"
"chromosome","NZ_CP024160.1",21745,22125,"-",66615643,,"CSV91_RS00100","WP_099431319.1",126,"hypothetical protein"
"chromosome","NZ_CP024160.1",22258,22578,"+",66615644,,"CSV91_RS00105","WP_172622486.1",106,"PadR family transcriptional regulator"
"chromosome","NZ_CP024160.1",22550,23188,"+",66615645,,"CSV91_RS00110","WP_232049513.1",212,"DUF1700 domain-containing protein"
"chromosome","NZ_CP024160.1",23204,23458,"+",66615646,,"CSV91_RS00115","WP_099431321.1",84,"hypothetical protein"
"chromosome","NZ_CP024160.1",23966,24556,"+",66615647,,"CSV91_RS00120","WP_147579356.1",196,"hypothetical protein"
"chromosome","NZ_CP024160.1",25585,26724,"-",66615648,,"CSV91_RS00135","WP_099431323.1",379,"ATP-binding protein"
"chromosome","NZ_CP024160.1",26721,27413,"-",66615649,,"CSV91_RS00140","WP_099431324.1",230,"response regulator transcription factor"
"chromosome","NZ_CP024160.1",27625,28527,"+",66615650,,"CSV91_RS00150","WP_099431325.1",300,"4Fe-4S binding protein"
"chromosome","NZ_CP024160.1",28557,29528,"+",66615651,,"CSV91_RS00155","WP_099431326.1",323,"TlpA family protein disulfide reductase"
"chromosome","NZ_CP024160.1",29782,33036,"+",66615652,,"CSV91_RS00160","WP_099431327.1",1084,"ATP-binding cassette domain-containing protein"
"chromosome","NZ_CP024160.1",33090,34043,"+",66615653,,"CSV91_RS00165","WP_099431328.1",317,"tRNA-dihydrouridine synthase family protein"
"chromosome","NZ_CP024160.1",34193,34459,"-",66615654,,"CSV91_RS00170","WP_099431329.1",88,"ribbon-helix-helix protein, CopG family"
"chromosome","NZ_CP024160.1",34574,35086,"-",66615655,,"CSV91_RS00175","WP_099431330.1",170,"hypothetical protein"
"chromosome","NZ_CP024160.1",35244,35414,"-",66617590,,"CSV91_RS09990","WP_157757961.1",56,"hypothetical protein"
"chromosome","NZ_CP024160.1",35833,36078,"-",66615656,,"CSV91_RS00180","WP_099431331.1",81,"glutaredoxin"
"chromosome","NZ_CP024160.1",36131,36958,"-",66615657,,"CSV91_RS00185","WP_099431332.1",275,"TipAS antibiotic-recognition domain-containing protein"
