#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"Un","NZ_CABKOD010000001.1",105,538,"+",,,"FXY00_RS00005","WP_006009740.1",145,"phage tail protein, partial"
"Un","NZ_CABKOD010000010.1",1,1143,"+",,,"FXY00_RS00050","WP_040370255.1",380,"methyltransferase domain-containing protein, partial"
"Un","NZ_CABKOD010000011.1",1,666,"-",,,"FXY00_RS00055","WP_006009628.1",222,"DUF935 family protein, partial"
"Un","NZ_CABKOD010000012.1",1,666,"-",,,"FXY00_RS00065","WP_006009616.1",222,"DUF935 family protein, partial"
"Un","NZ_CABKOD010000013.1",155,523,"+",,,"FXY00_RS00075","WP_006009606.1",122,"four helix bundle protein"
"Un","NZ_CABKOD010000014.1",1,555,"+",,,"FXY00_RS00080","WP_006009596.1",184,"RNA-directed DNA polymerase, partial"
"Un","NZ_CABKOD010000015.1",1,555,"+",,,"FXY00_RS00085","WP_006009586.1",184,"RNA-directed DNA polymerase, partial"
"Un","NZ_CABKOD010000019.1",1,322,"-",,"pdxT","FXY00_RS00100","WP_006009532.1",107,"pyridoxal 5\\'-phosphate synthase glutaminase subunit PdxT, partial"
"Un","NZ_CABKOD010000019.1",324,1205,"-",,"pdxS","FXY00_RS00105","WP_006009534.1",293,"pyridoxal 5\\'-phosphate synthase lyase subunit PdxS"
"Un","NZ_CABKOD010000020.1",1,280,"+",,,"FXY00_RS12835","WP_006009517.1",92,"hypothetical protein, partial"
"Un","NZ_CABKOD010000020.1",620,919,"+",,,"FXY00_RS13225","WP_006009521.1",99,"hypothetical protein"
"Un","NZ_CABKOD010000022.1",1,229,"-",,,"FXY00_RS00125","WP_006009501.1",76,"hypothetical protein, partial"
"Un","NZ_CABKOD010000022.1",239,1005,"-",,,"FXY00_RS00130","WP_006009503.1",254,"tail fiber protein, partial"
"Un","NZ_CABKOD010000023.1",190,632,"+",,,"FXY00_RS00135","WP_169304831.1",147,"helix-turn-helix domain-containing protein, partial"
"Un","NZ_CABKOD010000026.1",1,1066,"-",,,"FXY00_RS12840","WP_006009475.1",355,"hypothetical protein, partial"
"Un","NZ_CABKOD010000027.1",1,629,"+",,,"FXY00_RS12845","WP_006009466.1",209,"hypothetical protein, partial"
"Un","NZ_CABKOD010000028.1",1,629,"+",,,"FXY00_RS12850","WP_006009456.1",209,"hypothetical protein, partial"
"Un","NZ_CABKOD010000029.1",1,239,"-",,,"FXY00_RS12855","WP_211204921.1",80,"collagen-like protein, partial"
"Un","NZ_CABKOD010000029.1",309,908,"-",,,"FXY00_RS00155","WP_006009446.1",199,"collagen-like protein, partial"
"Un","NZ_CABKOD010000030.1",1,754,"-",,,"FXY00_RS00160","WP_246118327.1",251,"baseplate J/gp47 family protein, partial"
"Un","NZ_CABKOD010000031.1",193,602,"+",,,"FXY00_RS00165","WP_081446897.1",136,"helix-turn-helix domain-containing protein, partial"
"Un","NZ_CABKOD010000033.1",1,600,"+",,,"FXY00_RS00175","WP_006009409.1",199,"N-6 DNA methylase"
"Un","NZ_CABKOD010000033.1",624,788,"+",,,"FXY00_RS12860","WP_006009411.1",54,"hypothetical protein"
"Un","NZ_CABKOD010000033.1",869,1051,"+",,,"FXY00_RS00185","WP_006009413.1",60,"hypothetical protein"
"Un","NZ_CABKOD010000033.1",1056,1484,"+",,,"FXY00_RS00190","WP_006009416.1",142,"hypothetical protein"
"Un","NZ_CABKOD010000033.1",1492,1707,"+",,,"FXY00_RS00195","WP_006009400.1",72,"DUF1018 domain-containing protein, partial"
"Un","NZ_CABKOD010000034.1",1,601,"+",,,"FXY00_RS00200","WP_050760347.1",199,"N-6 DNA methylase, partial"
"Un","NZ_CABKOD010000034.1",677,859,"+",,,"FXY00_RS00210","WP_006009396.1",60,"hypothetical protein"
"Un","NZ_CABKOD010000034.1",864,1292,"+",,,"FXY00_RS00215","WP_006009398.1",142,"hypothetical protein"
"Un","NZ_CABKOD010000034.1",1300,1515,"+",,,"FXY00_RS00220","WP_006009400.1",72,"DUF1018 domain-containing protein, partial"
"Un","NZ_CABKOD010000035.1",1,754,"-",,,"FXY00_RS00225","WP_246118328.1",251,"baseplate J/gp47 family protein, partial"
"Un","NZ_CABKOD010000037.1",682,1167,"-",,,"FXY00_RS00235","WP_050760342.1",161,"helix-turn-helix domain-containing protein"
"Un","NZ_CABKOD010000037.1",1302,1562,"-",,,"FXY00_RS00240","WP_040370135.1",86,"hypothetical protein"
"Un","NZ_CABKOD010000037.1",1982,2905,"+",,,"FXY00_RS00245","WP_040370137.1",307,"diaminopimelate dehydrogenase"
"Un","NZ_CABKOD010000037.1",3325,3738,"-",,,"FXY00_RS12870","WP_050760343.1",137,"DUF1311 domain-containing protein"
"Un","NZ_CABKOD010000037.1",4148,4381,"-",,,"FXY00_RS00255","WP_006009027.1",77,"thioredoxin family protein"
"Un","NZ_CABKOD010000037.1",4551,5624,"-",,,"FXY00_RS00260","WP_006009029.1",357,"permease"
"Un","NZ_CABKOD010000037.1",5690,6013,"-",,,"FXY00_RS00265","WP_006009032.1",107,"metalloregulator ArsR/SmtB family transcription factor"
"Un","NZ_CABKOD010000037.1",6238,7068,"-",,,"FXY00_RS00270","WP_006009036.1",276,"nitroreductase family protein"
"Un","NZ_CABKOD010000037.1",7195,8217,"-",,,"FXY00_RS00275","WP_006009040.1",340,"alpha-hydroxy-acid oxidizing protein"
"Un","NZ_CABKOD010000037.1",8965,9753,"+",,,"FXY00_RS00280","WP_006009049.1",262,"aldolase/citrate lyase family protein"
"Un","NZ_CABKOD010000037.1",9776,10690,"+",,,"FXY00_RS00285","WP_006009051.1",304,"NAD(P)-dependent oxidoreductase"
"Un","NZ_CABKOD010000037.1",10861,11631,"+",,,"FXY00_RS00290","WP_006009053.1",256,"3-deoxy-manno-octulosonate cytidylyltransferase"
"Un","NZ_CABKOD010000037.1",12424,13062,"+",,,"FXY00_RS00300","WP_006009060.1",212,"HAD hydrolase-like protein"
